,Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
0,326838199.0,165118706.0,161719493.0,11.6,8.677999999999999,12.0,19.8700008392334,1.37000000476837,0.7599999904632572,8.77999973297119,3.9000000953674303,20611860934000.0,2.17689548062727,294163000000.0,189744559000.0,10318.041668669903,10.1071996688843,89.28966179332613,2018,USA
1,325122128.0,164262696.0,160859432.0,11.8,8.638,12.0,19.729999542236303,1.42999994754791,0.75,8.71000003814697,4.3600001335144,19542979183000.0,1.96427694252948,294552000000.0,185620403000.0,10318.041668669903,9.91909980773926,89.28966179332613,2017,USA
2,323071755.0,163245938.0,159825817.0,12.2,8.493,12.0,19.7800006866455,1.42999994754791,0.769999980926514,8.71000003814697,4.86999988555908,18745075687000.0,0.25865921260297897,231944000000.0,176951430000.0,10318.041668669903,9.45629978179932,89.28966179332613,2016,USA
3,320738994.0,162095782.0,158643212.0,12.4,8.44,12.0,19.8600006103516,1.4400000572204599,0.7599999904632572,8.829999923706051,5.28000020980835,18238300569000.0,2.6557474311682503,220383000000.0,190383501000.0,10318.041668669903,9.03390026092529,82.4278282452692,2015,USA
4,318386329.0,160946434.0,157439895.0,12.5,8.237,12.0,19.979999542236303,1.35000002384186,0.699999988079071,8.85999965667725,6.17000007629395,17527163695000.0,2.5097161672370603,235226000000.0,207796973000.0,12993.965579470601,9.220499992370609,83.08904242213809,2014,USA
5,316059947.0,159819809.0,156240138.0,12.4,8.215,12.0,19.9500007629395,1.32000005245209,0.6700000166893011,8.81999969482422,7.369999885559079,16784849196000.0,0.684468369722254,230298000000.0,223828260000.0,13004.0235689845,9.08329963684082,82.9405096870129,2013,USA
6,313877662.0,158770009.0,155107653.0,12.6,8.102,12.0,19.7399997711182,1.37999999523163,0.7599999904632572,8.75,8.06999969482422,16197007349000.0,3.10461388126697,232757000000.0,187695610000.0,12964.1879389302,8.728099822998049,83.4371776188128,2012,USA
7,311583481.0,157660006.0,153923475.0,12.7,8.073,12.0,19.7099990844727,1.45000004768372,0.769999980926514,8.72000026702881,8.94999980926514,15542581104000.0,1.22763694556249,237932000000.0,189073562000.0,13245.8819278677,8.364199638366701,83.714052768764,2011,USA
8,309327143.0,156560332.0,152766811.0,13.0,7.995,12.0,19.6399993896484,1.41999995708466,0.7400000095367428,8.46000003814697,9.63000011444092,14992052727000.0,3.50162045204077,205633000000.0,156289352000.0,13394.9027551068,7.4356999397277805,84.15058806602691,2010,USA
9,306771529.0,155298019.0,151473510.0,13.5,7.9,12.0,20.0,1.35000002384186,0.680000007152557,8.659999847412111,9.25,14448933025000.0,-2.0286959616703104,150243000000.0,139948397000.0,12913.7146883015,7.3544001579284695,84.15425371533291,2009,USA
